Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Team,League
15,2024-10-05,Matchweek 7,Home,Bukayo Saka,Southampton,Y,0.06,0.29,Right Foot,15.0,88,2-1,Aaron Ramsdale,,,,,,,Arsenal,Prem
16,2024-10-27,Matchweek 9,Home,Bukayo Saka,Liverpool,Y*,0.17,0.71,Left Foot,9.0,9,0-0,Caoimhín Kelleher,Ben White,Bukayo Saka,Take-On,Ben White,Pass (Live),,Arsenal,Prem
17,2024-10-27,Matchweek 9,Home,Mikel Merino,Liverpool,Y,0.38,0.88,Head,7.0,43,1-1,Caoimhín Kelleher,Declan Rice,Declan Rice,Pass (Dead),Thomas Partey,Fouled,,Arsenal,Prem
1,2024-08-17,Matchweek 1,Away,Amadou Onana,West Ham,Y,0.55,0.94,Head,3.0,4,0-0,Alphonse Areola,Youri Tielemans,Youri Tielemans,Pass (Dead),,,,Aston Villa,Prem
2,2024-08-17,Matchweek 1,Away,Jhon Durán,West Ham,N,0.15,0.14,Left Foot,14.0,79,1-1,Alphonse Areola,Jacob Ramsey,Jacob Ramsey,Pass (Live),Ian Maatsen,Pass (Live),,Aston Villa,Prem
3,2024-08-31,Matchweek 3,Away,Amadou Onana,Leicester City,Y,0.39,0.98,Left Foot,5.0,28,0-0,Mads Hermansen,Ollie Watkins,Ollie Watkins,Shot,,,,Aston Villa,Prem
4,2024-08-31,Matchweek 3,Away,Jhon Durán,Leicester City,N,0.15,0.65,Head,8.0,63,1-0,Mads Hermansen,Lucas Digne,Lucas Digne,Pass (Live),Jacob Ramsey,Pass (Live),,Aston Villa,Prem
5,2024-09-14,Matchweek 4,Home,Ollie Watkins,Everton,Y,0.41,0.96,Head,2.0,36,0-2,Jordan Pickford,Lucas Digne,Lucas Digne,Pass (Live),Amadou Onana,Pass (Live),Deflected,Aston Villa,Prem
6,2024-09-14,Matchweek 4,Home,Ollie Watkins,Everton,Y,0.13,0.43,Right Foot,10.0,58,1-2,Jordan Pickford,,Pau Torres,Pass (Live),Ross Barkley,Pass (Live),,Aston Villa,Prem
7,2024-09-14,Matchweek 4,Home,Jhon Durán,Everton,N,0.02,0.31,Left Foot,32.0,76,2-2,Jordan Pickford,Ross Barkley,Ross Barkley,Pass (Live),Youri Tielemans,Pass (Live),,Aston Villa,Prem
8,2024-09-21,Matchweek 5,Home,Ollie Watkins,Wolves,Y,0.13,0.39,Right Foot,8.0,73,0-1,Sam Johnstone,Morgan Rogers,Morgan Rogers,Pass (Live),,,Deflected,Aston Villa,Prem
9,2024-09-21,Matchweek 5,Home,Ezri Konsa,Wolves,Y,0.21,0.37,Right Foot,4.0,88,1-1,Sam Johnstone,Youri Tielemans,Youri Tielemans,Pass (Live),Ian Maatsen,Pass (Live),Volley,Aston Villa,Prem
10,2024-09-21,Matchweek 5,Home,Jhon Durán,Wolves,N,0.87,1.0,Left Foot,8.0,90+4,2-1,Sam Johnstone,Morgan Rogers,Morgan Rogers,Pass (Live),Ian Maatsen,Pass (Live),,Aston Villa,Prem
11,2024-09-29,Matchweek 6,Away,Morgan Rogers,Ipswich Town,Y,0.13,0.7,Right Foot,17.0,15,0-1,Arijanet Muric,Ollie Watkins,Ollie Watkins,Pass (Live),Morgan Rogers,Pass (Live),,Aston Villa,Prem
12,2024-09-29,Matchweek 6,Away,Ollie Watkins,Ipswich Town,Y,0.4,0.42,Head,5.0,32,1-1,Arijanet Muric,Leon Bailey,Leon Bailey,Pass (Live),Ezri Konsa,Pass (Live),,Aston Villa,Prem
13,2024-10-19,Matchweek 8,Away,Morgan Rogers,Fulham,Y,0.04,0.33,Right Foot,27.0,9,0-1,Bernd Leno,Jacob Ramsey,Jacob Ramsey,Pass (Live),Youri Tielemans,Pass (Live),Deflected,Aston Villa,Prem
14,2024-10-19,Matchweek 8,Away,Ollie Watkins,Fulham,Y,0.08,0.19,Head,10.0,59,1-1,Bernd Leno,Youri Tielemans,Youri Tielemans,Pass (Dead),Pau Torres,Shot,,Aston Villa,Prem
15,2024-10-19,Matchweek 8,Away,Issa Diop(OG),Fulham,N,,,,,69,2-1,Bernd Leno,,,,,,Own Goal,Aston Villa,Prem
16,2024-10-26,Matchweek 9,Home,Ross Barkley,Bournemouth,N,0.2,0.55,Right Foot,5.0,76,0-0,Mark Travers,Leon Bailey,Leon Bailey,Pass (Live),Ian Maatsen,Pass (Live),,Aston Villa,Prem
1,2024-08-17,Matchweek 1,Away,Antoine Semenyo,Nott'ham Forest,Y,0.3,0.51,Left Foot,4.0,86,0-1,Matz Sels,,Justin Kluivert,Pass (Live),Milos Kerkez,Pass (Live),Volley,Bournemouth,Prem
2,2024-08-25,Matchweek 2,Home,Marcus Tavernier,Newcastle Utd,Y,0.82,0.99,Right Foot,4.0,37,0-0,Nick Pope,Antoine Semenyo,Antoine Semenyo,Pass (Live),,,,Bournemouth,Prem
3,2024-08-31,Matchweek 3,Away,Antoine Semenyo,Everton,Y,0.46,0.77,Right Foot,4.0,87,0-2,Jordan Pickford,Dango Ouattara,Dango Ouattara,Pass (Live),Justin Kluivert,Pass (Live),Volley,Bournemouth,Prem
4,2024-08-31,Matchweek 3,Away,Lewis Cook,Everton,Y*,0.19,0.91,Head,6.0,90+2,1-2,Jordan Pickford,Luis Sinisterra,Luis Sinisterra,Pass (Live),Marcus Tavernier,Pass (Live),,Bournemouth,Prem
5,2024-08-31,Matchweek 3,Away,Luis Sinisterra,Everton,N,0.33,0.21,Head,5.0,90+6,2-2,Jordan Pickford,Justin Kluivert,Justin Kluivert,Pass (Live),Marcus Tavernier,Pass (Live),,Bournemouth,Prem
6,2024-09-30,Matchweek 6,Home,Evanilson,Southampton,Y,0.27,0.59,Right Foot,11.0,17,0-0,Aaron Ramsdale,Marcus Tavernier,Marcus Tavernier,Pass (Dead),Antoine Semenyo,Fouled,Volley,Bournemouth,Prem
7,2024-09-30,Matchweek 6,Home,Dango Ouattara,Southampton,Y,0.42,0.61,Left Foot,8.0,32,1-0,Aaron Ramsdale,Lewis Cook,Lewis Cook,Shot,,,,Bournemouth,Prem
8,2024-09-30,Matchweek 6,Home,Antoine Semenyo,Southampton,Y,0.06,0.21,Right Foot,17.0,39,2-0,Aaron Ramsdale,Lewis Cook,Antoine Semenyo,Take-On,Lewis Cook,Pass (Live),,Bournemouth,Prem
9,2024-10-19,Matchweek 8,Home,Ryan Christie,Arsenal,N,0.11,0.46,Left Foot,15.0,70,0-0,David Raya,Justin Kluivert,Justin Kluivert,Pass (Live),Lewis Cook,Pass (Dead),,Bournemouth,Prem
10,2024-10-19,Matchweek 8,Home,Justin Kluivert,Arsenal,N,0.79,0.8,Right Foot,13.0,79,1-0,David Raya,,Evanilson,Fouled,,,,Bournemouth,Prem
11,2024-10-26,Matchweek 9,Away,Evanilson,Aston Villa,N,0.04,0.38,Head,13.0,90+6,0-1,Emiliano Martínez,Marcus Tavernier,Marcus Tavernier,Pass (Dead),Marcus Tavernier,Fouled,,Bournemouth,Prem
1,2024-08-18,Matchweek 1,Home,Bryan Mbeumo,Crystal Palace,Y,0.09,0.35,Left Foot,12.0,29,0-0,Dean Henderson,Yoane Wissa,Yoane Wissa,Pass (Live),Christian Nørgaard,Pass (Live),,Brentford,Prem
2,2024-08-18,Matchweek 1,Home,Yoane Wissa,Crystal Palace,Y,0.94,0.97,Left Foot,3.0,76,1-1,Dean Henderson,,Nathan Collins,Shot,,,,Brentford,Prem
3,2024-08-31,Matchweek 3,Home,Bryan Mbeumo,Southampton,Y,0.33,0.97,Left Foot,11.0,43,0-0,Aaron Ramsdale,,Kevin Schade,Shot,,,,Brentford,Prem
4,2024-08-31,Matchweek 3,Home,Bryan Mbeumo,Southampton,Y,0.4,0.98,Left Foot,13.0,65,1-0,Aaron Ramsdale,Mathias Jensen,Mathias Jensen,Pass (Live),Yoane Wissa,Pass (Live),,Brentford,Prem
5,2024-08-31,Matchweek 3,Home,Yoane Wissa,Southampton,Y,0.54,0.87,Right Foot,1.0,69,2-0,Aaron Ramsdale,,Mathias Jensen,Pass (Dead),Bryan Mbeumo,Pass (Live),Volley,Brentford,Prem
6,2024-09-14,Matchweek 4,Away,Yoane Wissa,Manchester City,Y,0.34,0.97,Head,4.0,1,0-0,Ederson,,Kristoffer Ajer,Pass (Live),Yoane Wissa,Pass (Live),,Brentford,Prem
7,2024-09-21,Matchweek 5,Away,Bryan Mbeumo,Tottenham,Y,0.1,0.54,Left Foot,12.0,1,0-0,Guglielmo Vicario,Keane Lewis-Potter,Keane Lewis-Potter,Pass (Live),Yehor Yarmoliuk,Pass (Live),Volley,Brentford,Prem
8,2024-09-28,Matchweek 6,Home,Bryan Mbeumo,West Ham,Y,0.13,0.73,Left Foot,15.0,1,0-0,Alphonse Areola,Fabio Carvalho,Fabio Carvalho,Pass (Live),Kristoffer Ajer,Pass (Live),Volley,Brentford,Prem
9,2024-10-05,Matchweek 7,Home,Nathan Collins,Wolves,Y,0.53,0.66,Head,5.0,2,0-0,Sam Johnstone,Mikkel Damsgaard,Mikkel Damsgaard,Pass (Live),Bryan Mbeumo,Pass (Live),,Brentford,Prem
10,2024-10-05,Matchweek 7,Home,Bryan Mbeumo,Wolves,Y,0.79,0.87,Left Foot,13.0,20,1-1,Sam Johnstone,,Nathan Collins,Fouled,Mikkel Damsgaard,Pass (Live),,Brentford,Prem
11,2024-10-05,Matchweek 7,Home,Christian Nørgaard,Wolves,Y*,0.31,0.77,Right Foot,11.0,28,2-2,Sam Johnstone,Vitaly Janelt,Vitaly Janelt,Pass (Live),Bryan Mbeumo,Pass (Live),,Brentford,Prem
12,2024-10-05,Matchweek 7,Home,Ethan Pinnock,Wolves,Y,0.03,0.2,Head,10.0,45+2,3-2,Sam Johnstone,Mikkel Damsgaard,Mikkel Damsgaard,Pass (Dead),,,,Brentford,Prem
13,2024-10-05,Matchweek 7,Home,Fabio Carvalho,Wolves,N,0.89,0.99,Right Foot,5.0,90,4-2,Sam Johnstone,,Mikkel Damsgaard,Pass (Live),Yehor Yarmoliuk,Pass (Live),,Brentford,Prem
14,2024-10-19,Matchweek 8,Away,Ethan Pinnock,Manchester Utd,Y,0.42,0.97,Head,5.0,45+5,0-0,André Onana,Mikkel Damsgaard,Mikkel Damsgaard,Pass (Dead),Christian Nørgaard,Pass (Live),,Brentford,Prem
15,2024-10-26,Matchweek 9,Home,Yoane Wissa,Ipswich Town,Y,0.22,0.27,Left Foot,14.0,44,0-2,Arijanet Muric,Vitaly Janelt,Vitaly Janelt,Pass (Live),Keane Lewis-Potter,Pass (Live),,Brentford,Prem
16,2024-10-26,Matchweek 9,Home,Harry Clarke(OG),Ipswich Town,Y,,,,,45+1,1-2,Arijanet Muric,,,,,,Own Goal,Brentford,Prem
17,2024-10-26,Matchweek 9,Home,Bryan Mbeumo,Ipswich Town,Y,0.79,0.98,Left Foot,13.0,51,2-2,Arijanet Muric,,Keane Lewis-Potter,Fouled,Nathan Collins,Pass (Dead),,Brentford,Prem
18,2024-10-26,Matchweek 9,Home,Bryan Mbeumo,Ipswich Town,Y,0.02,0.31,Left Foot,28.0,90+6,3-3,Arijanet Muric,Mads Roerslev,Mads Roerslev,Pass (Live),Nathan Collins,Pass (Live),,Brentford,Prem
1,2024-08-17,Matchweek 1,Away,Kaoru Mitoma,Everton,Y,0.81,0.96,Right Foot,4.0,25,0-0,Jordan Pickford,Yankuba Minteh,Yankuba Minteh,Pass (Live),Yankuba Minteh,Take-On,,Brighton,Prem
2,2024-08-17,Matchweek 1,Away,Danny Welbeck,Everton,Y,0.07,0.48,Left Foot,18.0,56,1-0,Jordan Pickford,Mats Wieffer,Mats Wieffer,Pass (Live),,,,Brighton,Prem
3,2024-08-17,Matchweek 1,Away,Simon Adingra,Everton,N,0.07,0.47,Left Foot,17.0,86,2-0,Jordan Pickford,Danny Welbeck,Danny Welbeck,Pass (Live),Jack Hinshelwood,Pass (Live),,Brighton,Prem
4,2024-08-24,Matchweek 2,Home,Danny Welbeck,Manchester Utd,Y,0.75,0.99,Right Foot,3.0,32,0-0,André Onana,Kaoru Mitoma,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live),,Brighton,Prem
5,2024-08-24,Matchweek 2,Home,João Pedro,Manchester Utd,Y,0.46,0.95,Head,5.0,90+5,1-1,André Onana,Simon Adingra,Simon Adingra,Pass (Live),Yasin Ayari,Pass (Live),,Brighton,Prem
6,2024-08-31,Matchweek 3,Away,João Pedro,Arsenal,Y,0.26,0.24,Left Foot,11.0,58,0-1,David Raya,,Yankuba Minteh,Shot,,,,Brighton,Prem
7,2024-09-22,Matchweek 5,Home,Jack Hinshelwood,Nott'ham Forest,Y,0.12,0.48,Head,11.0,42,0-1,Matz Sels,Jan Paul van Hecke,Simon Adingra,Pass (Live),Kaoru Mitoma,Pass (Live),,Brighton,Prem
8,2024-09-22,Matchweek 5,Home,Danny Welbeck,Nott'ham Forest,Y,0.06,0.27,Right Foot,27.0,45,1-1,Matz Sels,,Kaoru Mitoma,Fouled,Jack Hinshelwood,Pass (Live),,Brighton,Prem
9,2024-09-28,Matchweek 6,Away,Georginio Rutter,Chelsea,Y,0.09,0.23,Head,15.0,7,0-0,Robert Sánchez,Carlos Baleba,,,,,,Brighton,Prem
10,2024-09-28,Matchweek 6,Away,Carlos Baleba,Chelsea,Y,0.27,0.62,Right Foot,12.0,34,1-3,Robert Sánchez,,Carlos Baleba,Interception,,,,Brighton,Prem
11,2024-10-06,Matchweek 7,Home,Yankuba Minteh,Tottenham,Y,0.25,0.62,Left Foot,9.0,48,0-2,Guglielmo Vicario,,Pervis Estupiñán,Pass (Live),Lewis Dunk,Pass (Live),,Brighton,Prem
12,2024-10-06,Matchweek 7,Home,Georginio Rutter,Tottenham,Y,0.17,0.49,Left Foot,15.0,58,1-2,Guglielmo Vicario,Kaoru Mitoma,Kaoru Mitoma,Pass (Live),Pervis Estupiñán,Pass (Live),,Brighton,Prem
13,2024-10-06,Matchweek 7,Home,Danny Welbeck,Tottenham,Y,0.56,0.98,Head,5.0,66,2-2,Guglielmo Vicario,,Georginio Rutter,Take-On,Joël Veltman,Pass (Dead),,Brighton,Prem
14,2024-10-19,Matchweek 8,Away,Danny Welbeck,Newcastle Utd,Y,0.36,0.62,Right Foot,12.0,35,0-0,Nick Pope,Georginio Rutter,Georginio Rutter,Pass (Live),Danny Welbeck,Pass (Live),,Brighton,Prem
15,2024-10-26,Matchweek 9,Home,Danny Welbeck,Wolves,Y*,0.45,0.62,Right Foot,10.0,45,0-0,José Sá,Georginio Rutter,Georginio Rutter,Pass (Live),Ferdi Kadioglu,Pass (Live),,Brighton,Prem
16,2024-10-26,Matchweek 9,Home,Evan Ferguson,Wolves,N,0.08,0.44,Right Foot,16.0,85,1-0,José Sá,Tariq Lamptey,Tariq Lamptey,Pass (Live),,,,Brighton,Prem
1,2024-08-25,Matchweek 2,Away,Nicolas Jackson,Wolves,Y,0.17,0.91,Head,5.0,2,0-0,José Sá,,Noni Madueke,Shot,,,,Chelsea,Prem
2,2024-08-25,Matchweek 2,Away,Cole Palmer,Wolves,Y,0.04,0.04,Left Foot,28.0,45,1-1,José Sá,Nicolas Jackson,Nicolas Jackson,Pass (Live),Robert Sánchez,Pass (Dead),,Chelsea,Prem
3,2024-08-25,Matchweek 2,Away,Noni Madueke,Wolves,Y,0.07,0.62,Left Foot,12.0,49,2-2,José Sá,Cole Palmer,Cole Palmer,Pass (Live),Nicolas Jackson,Pass (Live),Deflected,Chelsea,Prem
4,2024-08-25,Matchweek 2,Away,Noni Madueke,Wolves,Y,0.07,0.18,Right Foot,9.0,58,3-2,José Sá,Cole Palmer,Cole Palmer,Pass (Live),Moisés Caicedo,Pass (Live),,Chelsea,Prem
5,2024-08-25,Matchweek 2,Away,Noni Madueke,Wolves,Y,0.23,0.2,Right Foot,10.0,63,4-2,José Sá,Cole Palmer,Cole Palmer,Pass (Live),Cole Palmer,Take-On,,Chelsea,Prem
6,2024-08-25,Matchweek 2,Away,João Félix,Wolves,N,0.15,0.76,Right Foot,17.0,80,5-2,José Sá,Pedro Neto,Pedro Neto,Pass (Live),Cole Palmer,Pass (Live),,Chelsea,Prem
7,2024-09-01,Matchweek 3,Home,Nicolas Jackson,Crystal Palace,Y,0.97,1.0,Right Foot,2.0,25,0-0,Dean Henderson,Cole Palmer,Cole Palmer,Pass (Live),Noni Madueke,Pass (Live),,Chelsea,Prem
8,2024-09-14,Matchweek 4,Away,Christopher Nkunku,Bournemouth,N,0.3,0.96,Right Foot,10.0,86,0-0,Mark Travers,Jadon Sancho,Christopher Nkunku,Take-On,Jadon Sancho,Pass (Live),,Chelsea,Prem
9,2024-09-21,Matchweek 5,Away,Nicolas Jackson,West Ham,Y,0.22,0.32,Right Foot,9.0,4,0-0,Alphonse Areola,Jadon Sancho,Jadon Sancho,Pass (Live),Nicolas Jackson,Pass (Live),,Chelsea,Prem
10,2024-09-21,Matchweek 5,Away,Nicolas Jackson,West Ham,Y,0.44,0.81,Right Foot,17.0,18,1-0,Alphonse Areola,Moisés Caicedo,Moisés Caicedo,Pass (Live),Enzo Fernández,Pass (Live),,Chelsea,Prem
11,2024-09-21,Matchweek 5,Away,Cole Palmer,West Ham,Y,0.27,0.56,Left Foot,15.0,47,2-0,Alphonse Areola,Nicolas Jackson,Nicolas Jackson,Pass (Live),Moisés Caicedo,Pass (Live),,Chelsea,Prem
12,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.22,0.95,Left Foot,17.0,21,0-1,Bart Verbruggen,Nicolas Jackson,Nicolas Jackson,Pass (Live),,,,Chelsea,Prem
13,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.79,0.78,Left Foot,13.0,28,1-1,Bart Verbruggen,,Jadon Sancho,Fouled,Jadon Sancho,Pass (Live),,Chelsea,Prem
14,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.05,0.12,Left Foot,30.0,31,2-1,Bart Verbruggen,,Noni Madueke,Fouled,,,,Chelsea,Prem
15,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.18,0.75,Left Foot,12.0,41,3-2,Bart Verbruggen,Jadon Sancho,Jadon Sancho,Pass (Live),Enzo Fernández,Pass (Live),,Chelsea,Prem
16,2024-10-06,Matchweek 7,Home,Noni Madueke,Nott'ham Forest,Y,0.03,0.35,Left Foot,16.0,57,0-1,Matz Sels,Cole Palmer,Cole Palmer,Pass (Live),Jadon Sancho,Pass (Live),Deflected,Chelsea,Prem
17,2024-10-20,Matchweek 8,Away,Nicolas Jackson,Liverpool,Y,0.29,0.81,Right Foot,13.0,48,0-1,Caoimhín Kelleher,Moisés Caicedo,Moisés Caicedo,Pass (Live),Malo Gusto,Pass (Live),,Chelsea,Prem
18,2024-10-27,Matchweek 9,Home,Nicolas Jackson,Newcastle Utd,Y,0.56,0.74,Right Foot,11.0,18,0-0,Nick Pope,Pedro Neto,Pedro Neto,Pass (Live),Pedro Neto,Take-On,,Chelsea,Prem
19,2024-10-27,Matchweek 9,Home,Cole Palmer,Newcastle Utd,Y,0.05,0.07,Left Foot,18.0,47,1-1,Nick Pope,Roméo Lavia,Roméo Lavia,Pass (Live),Levi Colwill,Tackle,,Chelsea,Prem
1,2024-08-18,Matchweek 1,Away,Ethan Pinnock(OG),Brentford,Y,,,,,56,0-1,Mark Flekken,,,,,,Own Goal,Crystal Palace,Prem
2,2024-09-01,Matchweek 3,Away,Eberechi Eze,Chelsea,Y,0.06,0.78,Right Foot,22.0,53,0-1,Robert Sánchez,,Cheick Doucouré,Shot,,,,Crystal Palace,Prem
3,2024-09-14,Matchweek 4,Home,Jean-Philippe Mateta,Leicester City,Y,0.5,0.97,Right Foot,5.0,47,0-2,Mads Hermansen,Tyrick Mitchell,Tyrick Mitchell,Pass (Live),Eberechi Eze,Pass (Live),,Crystal Palace,Prem
4,2024-09-14,Matchweek 4,Home,Jean-Philippe Mateta,Leicester City,Y,0.79,0.82,Right Foot,13.0,90+2,1-2,Mads Hermansen,,Ismaila Sarr,Fouled,,,,Crystal Palace,Prem
5,2024-09-28,Matchweek 6,Away,Marc Guéhi,Everton,Y*,0.18,0.67,Right Foot,4.0,10,0-0,Jordan Pickford,Maxence Lacroix,Maxence Lacroix,Pass (Live),Adam Wharton,Pass (Live),,Crystal Palace,Prem
6,2024-10-27,Matchweek 9,Home,Jean-Philippe Mateta,Tottenham,Y,0.12,0.33,Left Foot,8.0,31,0-0,Guglielmo Vicario,Eberechi Eze,Eberechi Eze,Pass (Live),Daniel Muñoz,Pass (Live),Deflected,Crystal Palace,Prem
1,2024-08-31,Matchweek 3,Home,Michael Keane,Bournemouth,Y,0.21,0.55,Right Foot,12.0,50,0-0,Kepa Arrizabalaga,Dominic Calvert-Lewin,Dominic Calvert-Lewin,Pass (Live),Jack Harrison,Pass (Live),,Everton,Prem
2,2024-08-31,Matchweek 3,Home,Dominic Calvert-Lewin,Bournemouth,Y,0.33,0.31,Right Foot,11.0,57,1-0,Kepa Arrizabalaga,Dwight McNeil,Dwight McNeil,Pass (Live),Iliman Ndiaye,Pass (Live),,Everton,Prem
3,2024-09-14,Matchweek 4,Away,Dwight McNeil,Aston Villa,Y,0.02,0.29,Left Foot,21.0,16,0-0,Emiliano Martínez,,Dwight McNeil,Tackle,,,,Everton,Prem
4,2024-09-14,Matchweek 4,Away,Dominic Calvert-Lewin,Aston Villa,Y,0.41,0.85,Head,6.0,27,1-0,Emiliano Martínez,Dwight McNeil,Dwight McNeil,Pass (Dead),Jack Harrison,Fouled,,Everton,Prem
5,2024-09-21,Matchweek 5,Away,Iliman Ndiaye,Leicester City,Y,0.09,0.8,Right Foot,17.0,12,0-0,Mads Hermansen,Ashley Young,Ashley Young,Pass (Live),Iliman Ndiaye,Pass (Live),,Everton,Prem
6,2024-09-28,Matchweek 6,Home,Dwight McNeil,Crystal Palace,Y,0.02,0.43,Left Foot,27.0,47,0-1,Dean Henderson,Ashley Young,Ashley Young,Pass (Live),Ashley Young,Interception,,Everton,Prem
7,2024-09-28,Matchweek 6,Home,Dwight McNeil,Crystal Palace,Y,0.1,0.16,Left Foot,6.0,54,1-1,Dean Henderson,,Orel Mangala,Fouled,Abdoulaye Doucouré,Tackle,Volley,Everton,Prem
8,2024-10-19,Matchweek 8,Away,Iliman Ndiaye,Ipswich Town,Y,0.23,0.63,Right Foot,11.0,17,0-0,Arijanet Muric,,Dwight McNeil,Pass (Live),Ashley Young,Pass (Live),Deflected,Everton,Prem
9,2024-10-19,Matchweek 8,Away,Michael Keane,Ipswich Town,Y,0.03,0.31,Left Foot,11.0,40,1-0,Arijanet Muric,Dwight McNeil,Dwight McNeil,Pass (Live),Dwight McNeil,Take-On,,Everton,Prem
10,2024-10-26,Matchweek 9,Home,Beto,Fulham,N,0.34,0.61,Head,6.0,90+4,0-1,Bernd Leno,Ashley Young,Ashley Young,Pass (Live),Iliman Ndiaye,Pass (Live),Deflected,Everton,Prem
1,2024-08-24,Matchweek 2,Home,Emile Smith Rowe,Leicester City,Y,0.48,0.35,Left Foot,11.0,18,0-0,Mads Hermansen,Adama Traoré,Adama Traoré,Pass (Live),Kenny Tete,Pass (Live),,Fulham,Prem
2,2024-08-24,Matchweek 2,Home,Alex Iwobi,Leicester City,Y,0.16,0.24,Left Foot,9.0,70,1-1,Mads Hermansen,Antonee Robinson,Antonee Robinson,Pass (Live),Tom Cairney,Pass (Live),,Fulham,Prem
3,2024-08-31,Matchweek 3,Away,Adama Traoré,Ipswich Town,Y,0.15,0.49,Right Foot,10.0,32,0-1,Arijanet Muric,Antonee Robinson,Antonee Robinson,Pass (Live),Alex Iwobi,Pass (Live),,Fulham,Prem
4,2024-09-14,Matchweek 4,Home,Raúl Jiménez,West Ham,Y,0.21,0.29,Left Foot,5.0,24,0-0,Alphonse Areola,Emile Smith Rowe,Emile Smith Rowe,Pass (Live),Andreas Pereira,Pass (Live),,Fulham,Prem
5,2024-09-21,Matchweek 5,Home,Raúl Jiménez,Newcastle Utd,Y,0.07,0.59,Right Foot,14.0,5,0-0,Nick Pope,Adama Traoré,Adama Traoré,Pass (Live),Raúl Jiménez,Pass (Live),Volley,Fulham,Prem
6,2024-09-21,Matchweek 5,Home,Emile Smith Rowe,Newcastle Utd,Y,0.27,0.39,Right Foot,10.0,22,1-0,Nick Pope,Alex Iwobi,Alex Iwobi,Pass (Live),Emile Smith Rowe,Pass (Live),,Fulham,Prem
7,2024-09-21,Matchweek 5,Home,Reiss Nelson,Newcastle Utd,N,0.31,0.18,Right Foot,14.0,90+2,2-1,Nick Pope,Rodrigo Muniz,,,,,,Fulham,Prem
8,2024-09-28,Matchweek 6,Away,Raúl Jiménez,Nott'ham Forest,Y,0.79,0.67,Right Foot,13.0,51,0-0,Matz Sels,,Andreas Pereira,Fouled,Alex Iwobi,Pass (Live),,Fulham,Prem
9,2024-10-05,Matchweek 7,Away,Andreas Pereira,Manchester City,Y,0.59,0.98,Right Foot,5.0,26,0-0,Ederson,Raúl Jiménez,Raúl Jiménez,Pass (Live),Alex Iwobi,Pass (Live),Volley,Fulham,Prem
10,2024-10-05,Matchweek 7,Away,Rodrigo Muniz,Manchester City,N,0.22,0.83,Right Foot,12.0,88,1-3,Ederson,Reiss Nelson,Reiss Nelson,Pass (Live),Emile Smith Rowe,Pass (Live),Deflected,Fulham,Prem
11,2024-10-19,Matchweek 8,Home,Raúl Jiménez,Aston Villa,Y,0.06,0.38,Left Foot,18.0,5,0-0,Emiliano Martínez,Bernd Leno,Bernd Leno,Pass (Live),Calvin Bassey,Pass (Live),,Fulham,Prem
12,2024-10-26,Matchweek 9,Away,Alex Iwobi,Everton,Y,0.07,0.57,Right Foot,18.0,61,0-0,Jordan Pickford,Emile Smith Rowe,Emile Smith Rowe,Pass (Live),Emile Smith Rowe,Take-On,,Fulham,Prem
1,2024-08-24,Matchweek 2,Away,Sammie Szmodics,Manchester City,Y,0.29,0.29,Right Foot,21.0,7,0-0,Ederson,Ben Johnson,Ben Johnson,Pass (Live),Omari Hutchinson,Pass (Live),,Ipswich Town,Prem
2,2024-08-31,Matchweek 3,Home,Liam Delap,Fulham,Y,0.05,0.2,Right Foot,26.0,15,0-0,Bernd Leno,Leif Davis,Leif Davis,Pass (Live),Leif Davis,Take-On,,Ipswich Town,Prem
3,2024-09-21,Matchweek 5,Away,Sam Morsy,Southampton,Y*,0.04,0.58,Right Foot,22.0,90+5,0-1,Aaron Ramsdale,,George Hirst,Shot,,,Deflected,Ipswich Town,Prem
4,2024-09-29,Matchweek 6,Home,Liam Delap,Aston Villa,Y,0.12,0.34,Left Foot,13.0,8,0-0,Emiliano Martínez,Jack Clarke,Jack Clarke,Pass (Live),Kalvin Phillips,Pass (Live),,Ipswich Town,Prem
5,2024-09-29,Matchweek 6,Home,Liam Delap,Aston Villa,Y,0.29,0.73,Left Foot,11.0,72,1-2,Emiliano Martínez,Omari Hutchinson,Liam Delap,Take-On,Omari Hutchinson,Pass (Live),,Ipswich Town,Prem
6,2024-10-05,Matchweek 7,Away,Liam Delap,West Ham,Y,0.04,0.07,Right Foot,21.0,6,0-1,Alphonse Areola,,,,,,,Ipswich Town,Prem
7,2024-10-26,Matchweek 9,Away,Sammie Szmodics,Brentford,Y,0.19,0.25,Right Foot,18.0,28,0-0,Mark Flekken,George Hirst,George Hirst,Pass (Live),Kalvin Phillips,Pass (Live),,Ipswich Town,Prem
8,2024-10-26,Matchweek 9,Away,George Hirst,Brentford,Y,0.27,0.69,Right Foot,12.0,31,1-0,Mark Flekken,Conor Chaplin,Conor Chaplin,Pass (Live),,,,Ipswich Town,Prem
