Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Team,League
4,2024-08-31,Matchweek 3,Home,Ludovic Ajorque,Saint-Étienne,Y,0.59,0.91,Left Foot,5.0,77,2-0,Gautier Larsonneur,,Kenny Lala,Shot,,,,Brest,Ligue1
5,2024-08-31,Matchweek 3,Home,Kenny Lala,Saint-Étienne,Y,0.79,0.82,Right Foot,13.0,84,3-0,Gautier Larsonneur,,Soumaïla Coulibaly,Fouled,Mahdi Camara,Pass (Live),,Brest,Ligue1
6,2024-09-14,Matchweek 4,Away,Romain Del Castillo,Paris S-G,Y,0.79,0.82,Left Foot,13.0,29,0-0,Gianluigi Donnarumma,,Ludovic Ajorque,Fouled,Romain Del Castillo,Pass (Live),,Brest,Ligue1
7,2024-09-22,Matchweek 5,Home,Mama Samba Baldé,Toulouse,Y,0.07,0.41,Left Foot,22.0,21,0-0,Guillaume Restes,Mathias Pereira Lage,Mathias Pereira Lage,Pass (Live),Mama Samba Baldé,Pass (Live),Deflected,Brest,Ligue1
8,2024-09-22,Matchweek 5,Home,Romain Faivre,Toulouse,N,0.19,0.17,Left Foot,12.0,90+1,1-0,Guillaume Restes,Abdallah Sima,Abdallah Sima,Pass (Live),Hugo Magnetti,Pass (Live),,Brest,Ligue1
9,2024-10-06,Matchweek 7,Home,Ludovic Ajorque,Le Havre,Y,0.46,0.89,Left Foot,9.0,12,0-0,Arthur Desmas,Mama Samba Baldé,Mama Samba Baldé,Pass (Live),,,Volley,Brest,Ligue1
10,2024-10-06,Matchweek 7,Home,Ibrahim Salah,Le Havre,N,0.05,0.22,Right Foot,17.0,90+2,1-0,Arthur Desmas,Romain Del Castillo,Romain Del Castillo,Pass (Live),,,,Brest,Ligue1
11,2024-10-19,Matchweek 8,Home,Romain Del Castillo,Rennes,Y,0.79,0.99,Left Foot,13.0,54,0-0,Steve Mandanda,,,Fouled,Pierre Lees-Melou,Shot,,Brest,Ligue1
12,2024-10-26,Matchweek 9,Away,Romain Faivre,Reims,Y,0.79,0.76,Left Foot,13.0,4,0-0,Yehvann Diouf,,,Fouled,Soumaïla Coulibaly,Shot,,Brest,Ligue1
13,2024-10-26,Matchweek 9,Away,Mama Samba Baldé,Reims,Y,0.25,0.26,Right Foot,11.0,18,1-0,Yehvann Diouf,Romain Faivre,Romain Faivre,Pass (Live),Ibrahim Salah,Pass (Live),,Brest,Ligue1
1,2024-08-16,Matchweek 1,Home,Gautier Lloris,Paris S-G,Y,0.04,0.09,Left Foot,12.0,48,0-1,Gianluigi Donnarumma,Christopher Operi,Christopher Operi,Pass (Dead),Yassine Kechta,Fouled,Volley,Le Havre,Ligue1
2,2024-08-24,Matchweek 2,Away,Abdoulaye Touré,Saint-Étienne,Y,0.79,0.59,Right Foot,13.0,57,0-0,Gautier Larsonneur,,Josué Casimir,Fouled,Oussama Targhalline,Pass (Live),,Le Havre,Ligue1
3,2024-08-24,Matchweek 2,Away,Arouna Sangante,Saint-Étienne,Y*,0.1,0.13,Head,9.0,67,1-0,Gautier Larsonneur,Yanis Zouaoui,Yanis Zouaoui,Pass (Dead),,,,Le Havre,Ligue1
4,2024-09-01,Matchweek 3,Home,Elisha Owusu(OG),Auxerre,Y,,,,,23,0-1,Donovan Léon,,,,,,Own Goal,Le Havre,Ligue1
5,2024-09-01,Matchweek 3,Home,Rassoul Ndiaye,Auxerre,Y,0.07,0.58,Left Foot,10.0,52,1-1,Donovan Léon,Christopher Operi,Christopher Operi,Pass (Live),Yoann Salmier,Pass (Live),Volley,Le Havre,Ligue1
6,2024-09-01,Matchweek 3,Home,Abdoulaye Touré,Auxerre,Y,0.79,0.78,Right Foot,13.0,90+8,2-1,Donovan Léon,,Josué Casimir,Fouled,Oussama Targhalline,Pass (Live),,Le Havre,Ligue1
7,2024-09-22,Matchweek 5,Away,Daler Kuzyaev,Monaco,Y,0.05,0.91,Right Foot,16.0,30,0-1,Philipp Köhn,Abdoulaye Touré,Abdoulaye Touré,Pass (Live),Gautier Lloris,Pass (Live),,Le Havre,Ligue1
1,2024-08-18,Matchweek 1,Away,Wesley Saïd,Angers,Y,0.35,0.94,Right Foot,13.0,28,0-0,Yahia Fofana,Ruben Aguilar,Ruben Aguilar,Pass (Live),Florian Sotoca,Pass (Live),,Lens,Ligue1
2,2024-08-25,Matchweek 2,Home,Jhoanner Chávez,Brest,Y,0.08,0.47,Left Foot,6.0,19,0-0,Marco Bizot,Anass Zaroury,Anass Zaroury,Pass (Live),Facundo Medina,Pass (Live),,Lens,Ligue1
3,2024-08-25,Matchweek 2,Home,Julien Le Cardinal(OG),Brest,Y,,,,,45,1-0,Marco Bizot,,,,,,Own Goal,Lens,Ligue1
4,2024-09-01,Matchweek 3,Away,Przemysław Frankowski,Monaco,N,0.79,0.87,Right Foot,13.0,90+4,0-1,Philipp Köhn,,,Fouled,Hamzat Ojediran,Shot,,Lens,Ligue1
5,2024-09-21,Matchweek 5,Away,M'Bala Nzola,Rennes,N,0.16,0.49,Left Foot,9.0,90+6,0-1,Steve Mandanda,,Przemysław Frankowski,Pass (Live),Facundo Medina,Pass (Live),Deflected,Lens,Ligue1
6,2024-10-06,Matchweek 7,Away,M'Bala Nzola,Strasbourg,Y,0.08,0.71,Right Foot,16.0,5,0-0,Đorđe Petrović,Adrien Thomasson,Adrien Thomasson,Pass (Live),Przemysław Frankowski,Pass (Live),Deflected,Lens,Ligue1
7,2024-10-06,Matchweek 7,Away,Andy Diouf,Strasbourg,Y,0.08,0.18,Left Foot,8.0,44,1-1,Đorđe Petrović,,,,,,,Lens,Ligue1
8,2024-10-19,Matchweek 8,Away,Przemysław Frankowski,Saint-Étienne,Y,0.02,0.02,Right Foot,31.0,20,0-0,Gautier Larsonneur,Andy Diouf,Andy Diouf,Pass (Live),,,,Lens,Ligue1
9,2024-10-19,Matchweek 8,Away,Rémy Labeau Lascary,Saint-Étienne,N,0.59,0.99,Right Foot,11.0,79,1-0,Gautier Larsonneur,,Rémy Labeau Lascary,Take-On,,,,Lens,Ligue1
1,2024-08-17,Matchweek 1,Away,Bafodé Diakité,Reims,Y*,0.1,0.63,Left Foot,8.0,45+30,0-0,Yehvann Diouf,,Osame Sahraoui,Shot,,,Volley,Lille,Ligue1
2,2024-08-17,Matchweek 1,Away,Jonathan David,Reims,N,0.4,0.86,Left Foot,4.0,90+3,1-0,Yehvann Diouf,,Ethan Mbappé,Shot,,,,Lille,Ligue1
3,2024-08-24,Matchweek 2,Home,Thomas Meunier,Angers,Y,0.09,0.56,Right Foot,12.0,34,0-0,Yahia Fofana,Hákon Arnar Haraldsson,Thomas Meunier,Take-On,Hákon Arnar Haraldsson,Pass (Live),,Lille,Ligue1
4,2024-08-24,Matchweek 2,Home,Mohamed Lamine Bayo,Angers,N,0.31,0.16,Right Foot,18.0,90+5,1-0,Yahia Fofana,Rémy Cabella,Rémy Cabella,Pass (Live),Aïssa Mandi,Pass (Live),,Lille,Ligue1
5,2024-09-01,Matchweek 3,Home,Edon Zhegrova,Paris S-G,Y,0.06,0.42,Left Foot,27.0,78,0-2,Gianluigi Donnarumma,Bafodé Diakité,Bafodé Diakité,Pass (Live),Thomas Meunier,Pass (Live),,Lille,Ligue1
6,2024-09-21,Matchweek 5,Home,Edon Zhegrova,Strasbourg,Y,0.24,0.13,Left Foot,14.0,15,0-0,Đorđe Petrović,Angel Gomes,Angel Gomes,Pass (Live),Thomas Meunier,Pass (Live),,Lille,Ligue1
7,2024-09-21,Matchweek 5,Home,Edon Zhegrova,Strasbourg,Y,0.41,0.98,Head,10.0,27,1-0,Đorđe Petrović,,Thomas Meunier,Shot,,,,Lille,Ligue1
8,2024-09-21,Matchweek 5,Home,Jonathan David,Strasbourg,Y,0.79,0.74,Right Foot,13.0,84,2-3,Đorđe Petrović,,Tiago Santos,Fouled,Benjamin André,Pass (Live),,Lille,Ligue1
9,2024-09-28,Matchweek 6,Away,Jonathan David,Le Havre,Y,0.43,0.81,Left Foot,10.0,23,0-0,Arthur Desmas,Osame Sahraoui,Osame Sahraoui,Pass (Live),Angel Gomes,Pass (Live),,Lille,Ligue1
10,2024-09-28,Matchweek 6,Away,Jonathan David,Le Havre,Y,0.37,0.69,Right Foot,13.0,35,1-0,Arthur Desmas,Osame Sahraoui,Osame Sahraoui,Pass (Live),Tiago Santos,Pass (Live),Volley,Lille,Ligue1
11,2024-09-28,Matchweek 6,Away,Jonathan David,Le Havre,Y,0.41,0.74,Head,4.0,79,2-0,Arthur Desmas,Edon Zhegrova,Edon Zhegrova,Pass (Live),Tiago Santos,Pass (Live),,Lille,Ligue1
12,2024-10-05,Matchweek 7,Home,Angel Gomes,Toulouse,Y,0.42,0.6,Right Foot,8.0,57,0-1,Guillaume Restes,Osame Sahraoui,Osame Sahraoui,Pass (Live),Angel Gomes,Pass (Live),Volley,Lille,Ligue1
13,2024-10-05,Matchweek 7,Home,Mitchel Bakker,Toulouse,N,0.52,0.82,Left Foot,18.0,72,1-1,Guillaume Restes,Ayyoub Bouaddi,Ayyoub Bouaddi,Pass (Live),Ayyoub Bouaddi,Take-On,,Lille,Ligue1
14,2024-10-26,Matchweek 9,Away,Jonathan David,Lens,Y,0.79,0.99,Right Foot,13.0,90+8,0-0,Brice Samba,,,Fouled,Mohamed Lamine Bayo,Shot,,Lille,Ligue1
15,2024-10-26,Matchweek 9,Away,Mohamed Lamine Bayo,Lens,N,0.37,0.27,Right Foot,15.0,90+11,1-0,Brice Samba,Matias Fernandez-Pardo,Matias Fernandez-Pardo,Pass (Live),,,,Lille,Ligue1
1,2024-08-30,Matchweek 3,Home,Corentin Tolisso,Strasbourg,Y,0.25,0.57,Right Foot,12.0,45+2,0-1,Karl-Johan Johnsson,,Alexandre Lacazette,Shot,,,Deflected,Lyon,Ligue1
2,2024-08-30,Matchweek 3,Home,Ainsley Maitland-Niles,Strasbourg,Y,0.3,0.3,Right Foot,10.0,61,1-3,Karl-Johan Johnsson,,Alexandre Lacazette,Shot,,,,Lyon,Ligue1
